t,z,a,d
0.35500001907348633,True,True,True
0.6740000247955322,True,True,True
1.0130000114440918,True,True,True
1.3959999084472656,True,True,True
1.7320001125335693,True,True,True
2.0380001068115234,True,False,True
2.3559999465942383,True,False,True
2.684999942779541,False,False,True
3.0929999351501465,False,False,True
3.430999994277954,False,False,True
3.759999990463257,False,False,True
4.144999980926514,False,False,True
4.484999895095825,False,False,True
4.835999965667725,False,False,True
5.1570000648498535,False,True,True
5.63100004196167,False,False,True
5.999000072479248,False,False,True
6.36299991607666,False,False,True
6.691999912261963,False,False,True
7.072000026702881,False,True,True
7.415999889373779,False,True,True
7.73799991607666,False,False,True
8.13700008392334,False,False,True
8.532000064849854,False,False,True
8.842000007629395,False,False,True
9.500999927520752,False,False,True
9.852999925613403,False,False,True
10.199000120162964,False,False,True
10.582000017166138,False,False,True
10.914999961853027,False,False,True
11.279000043869019,False,False,True
11.621000051498413,False,False,True
12.00600004196167,False,False,True
12.382999897003174,False,False,True
12.726999998092651,False,False,True
13.167999982833862,False,False,True
13.506999969482422,False,False,True
13.859999895095825,False,False,True
14.26200008392334,False,False,True
14.624000072479248,False,False,True
15.006999969482422,False,False,True
15.384999990463257,False,False,True
15.926000118255615,False,False,True
16.250999927520752,False,False,True
16.59500002861023,False,True,True
17.009999990463257,False,True,True
17.36400008201599,False,False,True
17.71399998664856,False,True,True
18.06599998474121,False,True,True
18.44600009918213,False,True,True
18.825999975204468,False,True,True
19.174999952316284,False,True,True
19.575000047683716,False,True,True
19.926000118255615,False,False,True
20.266000032424927,False,False,True
20.62000012397766,False,False,True
21.032000064849854,False,False,True
21.374000072479248,False,False,True
21.711999893188477,True,False,True
22.151000022888184,False,False,True
22.492000102996826,True,False,True
22.86400008201599,True,False,True
23.282000064849854,False,False,True
23.621999979019165,False,False,True
23.980000019073486,False,False,True
24.299999952316284,True,False,True
24.704999923706055,True,False,True
25.038000106811523,True,False,True
25.447999954223633,True,False,True
25.835999965667725,True,False,True
26.183000087738037,True,False,True
26.55900001525879,True,False,True
27.01099991798401,True,False,True
27.414000034332275,True,False,True
27.746000051498413,True,True,True
28.124000072479248,True,True,True
28.532999992370605,True,True,True
28.859999895095825,True,True,True
29.217000007629395,True,True,True
29.552000045776367,True,True,True
29.907999992370605,True,True,True
30.27300000190735,True,True,True
